,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0088066,"('Christie Cromwell', 'actress')","('Paul Fox', 'actor')","('Karen Cromwell', 'actress')","('Lacey Bohle', 'actor')",,,,,,,,,,,,,,
0088067,"('Edgar Allan', 'actor')","('Al Weiner', 'actor')","('Harriet Weiner', 'actress')","('Sonny Weiner', 'actor')",,,,,,,,,,,,,,
0088070,"('Branka Djuric - Decka', 'actress')","('Nenad', 'actor')","('Ana', 'actress')","('Major Djuric', 'actor')",,,,,,,,,,,,,,
0088072,"('Eve', 'actress')","('Adam', 'actor')","('Gabriel', 'actor')","('The Devil', 'actor')",,,,,,,,,,,,,,
0088073,"('Sigmund Freud', 'actor')","('Martha Bernays', 'actress')","('Dr. Max Bauer', 'actor')","('Emma Herrmann', 'actress')",,,,,,,,,,,,,,
0088074,"('Richard Nixon', 'actor')",,,,,,,,,,,,,,,,,
0088083,"('Her Excellency', 'actor')","('Maks', 'actor')","('Albert', 'actor')","('Reporter', 'actress')",,,,,,,,,,,,,,
0088089,"('Pedro Fontán', 'actor')","('Margaret', 'actress')","('Linares', 'actor')","('Prof. Timothy Wallace', 'actor')",,,,,,,,,,,,,,
0088090,"('José Manuel Varela', 'actor')","('Federico Alcántara', 'actor')","(""Graciela dos Santos Varela 'La Mala'"", 'actress')","('Dionisio Balboa', 'actor')",,,,,,,,,,,,,,
0088092,"('Maria', 'actress')","('Vampirete Dora', 'actress')","('Vampirete', 'actress')",,,,,,,,,,,,,,,
0088093,"('Ryuta', 'actor')","('Saburo', 'actor')","('Takeme \\Mume\\ Hatano', 'actress')","('Komako', 'actress')",,,,,,,,,,,,,,
0088097,"('Tung Kwok-Man', 'actor')","('Shu-Shu', 'actress')","('Stool', 'actress')","('Rude Caucasian', 'actor')",,,,,,,,,,,,,,
0088099,"('Vicky Kapoor', 'actor')","('Masterji', 'actor')","('Advocate Saxena', 'actor')","('Father of prospective bride', 'actor')",,,,,,,,,,,,,,
0088100,"('Peter', 'actor')","('Dr. Stella Dickens', 'actress')","('Sheriff Gordon', 'actor')","('Prof. Donald West', 'actor')",,,,,,,,,,,,,,
0088102,"('Fran', 'actress')","('Tom', 'actor')","('Catherine', 'actress')","('Lucy', 'actress')",,,,,,,,,,,,,,
0088103,"('Sheena', 'actress')","('Vic Casey', 'actor')","('Fletcher', 'actor')","('Shaman', 'actress')",,,,,,,,,,,,,,
0088105,"('Chau', 'actor')","('Walker', 'actor')","('Beethoven', 'actor')","('Johnny', 'actor')","('Anna', 'actress')","('Inspector Chan', 'actor')",,,,,,,,,,,,
0088107,"('Rooster', 'actor')","('Chubby', 'actor')","('Chung', 'actor')",,,,,,,,,,,,,,,
0088111,"('Sir Randolph Nettleby', 'actor')","('Lord Gilbert Hartlip', 'actor')","('Lady Minnie Nettleby', 'actress')","('Cornelius Cardew', 'actor')",,,,,,,,,,,,,,
0088116,"('Dr. Joan Gilmore', 'actress')","('Mrs. Collins', 'actress')","('Howard Johns', 'actor')","('Sheriff Liggett', 'actor')",,,,,,,,,,,,,,
0088117,"('Mother Superior', 'actress')","('Sister Margaret', 'actress')","('Pamela', 'actress')","('Billy at 18', 'actor')",,,,,,,,,,,,,,
0088118,"('Paui Te Po', 'actor')","('Luisa', 'actress')","('Baby Jonasi', 'actor')","('Baby Jonasi', 'actor')",,,,,,,,,,,,,,
0088126,"('Coral Zhang', 'actress')","('Pearl', 'actress')",,,,,,,,,,,,,,,,
0088128,"('Samantha', 'actress')","('Geek', 'actor')","('Mike Baker', 'actor')","('Jake', 'actor')",,,,,,,,,,,,,,
0088133,"('Miller', 'actor')","('Mandell', 'actor')","('Stig Larsson', 'actor')","('Thomas Kallin', 'actor')",,,,,,,,,,,,,,
0088134,"('Wilbur Swain', 'actor')","('Caleb Swain', 'actor')","('Eliza Swain', 'actress')","('Lutetia Swain', 'actress')","('Sylvester', 'actor')","('Dr. Frankenstein', 'actor')",,,,,,,,,,,,
0088135,"('Stone', 'actor')","('Terry Abbatt', 'actor')","('Madge', 'actress')","('Costello', 'actor')",,,,,,,,,,,,,,
0088138,"('Robert', 'actor')","('Simone', 'actress')","('Pierrot-Rita', 'actress')","('Gégène', 'actor')",,,,,,,,,,,,,,
0088142,"('Roy Balaban', 'actor')","('Andy Pearce', 'actor')","('Karen Reed', 'actress')","('Greg Perry', 'actor')",,,,,,,,,,,,,,
0088146,"('Captain Davenport', 'actor')","('Sergeant Waters', 'actor')","('Private Wilkie', 'actor')","('Corporal Cobb', 'actor')",,,,,,,,,,,,,,
0088151,"('Chantal', 'actress')","('Louisette', 'actress')","('Fernand', 'actor')","('Bulgarian seaman', 'actor')",,,,,,,,,,,,,,
0088153,"('Doc Jenkins', 'actor')","('Blackie Buck', 'actor')","('Honey Carder', 'actress')","('Dino McLeish', 'actor')",,,,,,,,,,,,,,
0088155,"('Oscar', 'actor')","('Ester', 'actress')","('Adele', 'actress')","('Amilcare', 'actor')",,,,,,,,,,,,,,
0088157,"('Andrea Wilcox', 'actress')","('Elaine Bernstein', 'actress')","('Neville', 'actor')","('Keefe Waterman', 'actor')","('Det. Lt.Philip Delroy', 'actor')",,,,,,,,,,,,,
0088161,"('Allen Bauer', 'actor')","('Madison', 'actress')","('Walter Kornbluth', 'actor')","('Freddie Bauer', 'actor')",,,,,,,,,,,,,,
0088163,"('Gina Napoliani', 'actress')","('Susie', 'actress')","('Joan', 'actress')","('Chuck', 'actor')",,,,,,,,,,,,,,
0088167,"('Paul Brandon', 'actor')","('Stéphane Carella', 'actor')","('Laura', 'actress')","('Kovacs', 'actor')",,,,,,,,,,,,,,
0088170,"('Kirk', 'actor')","('Capt. Spock', 'actor')","('McCoy', 'actor')","('Scotty', 'actor')",,,,,,,,,,,,,,
0088172,"('Starman', 'actor')","('Jenny Hayden', 'actress')","('Mark Shermin', 'actor')","('George Fox', 'actor')",,,,,,,,,,,,,,
0088175,"('Zika', 'actor')","('Milan', 'actor')","('Boba', 'actor')","('Marija', 'actress')",,,,,,,,,,,,,,
0088176,"('Joe Hillerman', 'actor')","('Arnold Hillerman', 'actor')","('Ruth Hillerman', 'actress')","('Nora Hillerman', 'actress')",,,,,,,,,,,,,,
0088184,"('Willie', 'actor')","('Eva', 'actress')","('Eddie', 'actor')","('Aunt Lotte', 'actress')",,,,,,,,,,,,,,
0088185,"('Stanley, the Director', 'actor')","('Carol Redding', 'actress')","('Betty', 'actress')","('Stevie Blake', 'actor')","('Farris, the Producer', 'actor')",,,,,,,,,,,,,
0088187,"('Jonathan Sage', 'actor')","('Hitler', 'actor')","('Staggers', 'actor')","('Larry Larkin', 'actor')","('Ratcliffe', 'actor')",,,,,,,,,,,,,
0088194,"('Tom Cody', 'actor')","('Ellen Aim', 'actress')","('Billy Fish', 'actor')","('McCoy', 'actress')",,,,,,,,,,,,,,
0088195,"('Cookie', 'actress')","('Duke', 'actor')","('Jason', 'actor')","('Finesse', 'actor')",,,,,,,,,,,,,,
0088199,"('Judge Gabriel', 'actor')","('Carol Griffiths', 'actress')","('Bill Andrews', 'actor')","('Artle Poulet', 'actor')",,,,,,,,,,,,,,
0088200,"('Alex Rodak', 'actor')","('Alicia Rodak', 'actress')","('Adam Rodak', 'actor')","('Tony Rodak', 'actor')",,,,,,,,,,,,,,
0088206,"('Supergirl', 'actress')","('Linda Lee', 'actress')","('Selena', 'actress')","('Zaltar', 'actor')","('Alura', 'actress')",,,,,,,,,,,,,
0088207,"('Menlo Schwartzer', 'actor')","('Sparkle', 'actress')","('Florinda Budnick', 'actress')","(""Mr. O'Finley"", 'actor')","('Chuck', 'actor')",,,,,,,,,,,,,
0088208,"('Joe', 'actor')","('Kate', 'actress')","('David', 'actor')","('Anna', 'actress')",,,,,,,,,,,,,,
0088210,"('Frank Waite', 'actor')","('Anouk Vanderlin', 'actress')","('Lee Waite', 'actress')","('Eric', 'actor')",,,,,,,,,,,,,,
0088213,"('Kay Walsh', 'actress')","('Lucky Lockhart', 'actor')","('Hazel Zanussi', 'actress')","('Biscuits Toohey', 'actor')",,,,,,,,,,,,,,
0088222,"('Kyoichi Mikami', 'actor')","('Rie Takami', 'actress')","('Teacher Umemiya', 'actor')","('Ken Shimizu', 'actor')",,,,,,,,,,,,,,
0088224,"('Zack', 'actor')","('LaDonna', 'actress')","('Billy', 'actor')","('Elliott', 'actor')",,,,,,,,,,,,,,
0088229,"('Tartuffe', 'actor')","('Orgon', 'actor')","('Dorine', 'actress')","('Madame Pernelle', 'actress')",,,,,,,,,,,,,,
0088230,"('Amigo de Tasio', 'actor')","('Tasio adulto', 'actor')","('Padre de Tasio', 'actor')","('Cabo Guardia Civil', 'actor')",,,,,,,,,,,,,,
0088241,"('Spyros', 'actor')","('Voula', 'actress')","('Antonis', 'actor')","('Katerina', 'actress')",,,,,,,,,,,,,,
0088242,"('Alex Jurel', 'actor')","('Lisa Hammond', 'actress')","('Roger Rubell', 'actor')","('Eddie Pilikian', 'actor')",,,,,,,,,,,,,,
0088247,"('Terminator', 'actor')","('Sarah Connor', 'actress')","('Kyle Reese', 'actor')","('Traxler', 'actor')",,,,,,,,,,,,,,
0088250,"('Jessica Hathaway', 'actress')","('David Lewis', 'actor')","('Sally Clements', 'actress')","('Vera Peters', 'actress')",,,,,,,,,,,,,,
0088255,"('Diane Stevens', 'actress')","('Jay Richard', 'actor')","('Michael Stevens', 'actor')","(""Martin 'Bird' Johnson"", 'actor')",,,,,,,,,,,,,,
0088256,"('Scott Muller', 'actor')","('Mickey Davis', 'actress')","('Ray Davis', 'actor')","('Buddy Calamara', 'actor')",,,,,,,,,,,,,,
0088258,"('Marty DiBergi', 'actor')","('David St. Hubbins', 'actor')","('Nigel Tufnel', 'actor')","('Heavy Metal Fan', 'actress')",,,,,,,,,,,,,,
0088268,"('Johnny Huang', 'actor')","('Sisi', 'actress')","(""Ying, Johnny's Wife"", 'actress')","(""Johnny's Father-in-law"", 'actor')","('Sally', 'actress')","('Che', 'actor')","(""Johnny's Grandfather"", 'actor')",,,,,,,,,,,
0088269,"('Curly', 'actor')","('Maria, The Robot', 'actress')","('Whisky', 'actor')","('T.Q. Zhuang (Guest star)', 'actor')",,,,,,,,,,,,,,
0088272,"('Wes Block', 'actor')","('Beryl Thibodeaux', 'actress')","('Det. Molinari', 'actor')","('Amanda Block', 'actress')",,,,,,,,,,,,,,
0088274,"('Father Walsh', 'actor')","('Mama Theresa', 'actress')","('Frank Villano', 'actor')","('Angelo Villano', 'actor')",,,,,,,,,,,,,,
0088276,"('Epistimi', 'actress')","('Rini', 'actress')","('Andreas', 'actor')",,,,,,,,,,,,,,,
0088286,"('Nick Rivers', 'actor')","('Hillary Flammond', 'actress')","('Bookstore Proprietor', 'actor')","('General Streck', 'actor')",,,,,,,,,,,,,,
0088292,"('Sarge', 'actor')","('Buck', 'actor')","('Colonel Lopez', 'actor')","('Amy', 'actress')",,,,,,,,,,,,,,
0088299,"('Bjørn', 'actor')","('Erik', 'actor')","('Anna', 'actress')","('Kirsten', 'actress')",,,,,,,,,,,,,,
0088300,"('Eva', 'actress')","('Claudine', 'actress')","('Rita', 'actress')","('Agent Roger', 'actor')",,,,,,,,,,,,,,
0088307,"('Judge Annibale Salvemini', 'actor')","('Corrado Parrisi', 'actor')","('Singer Iris Del Monte', 'actress')","('Giovanna Salvemini', 'actress')",,,,,,,,,,,,,,
0088312,"('Dunja', 'actress')","('Stefica Cvek', 'actress')","('Pipo', 'actor')","('Sale', 'actor')",,,,,,,,,,,,,,
0088315,"('Charles Swann', 'actor')","('Odette de Crecy', 'actress')","('Baron de Charlus', 'actor')","('Duchesse de Guermantes', 'actress')",,,,,,,,,,,,,,
0088318,"('Monsieur Ladmiral', 'actor')","('Gonzague', 'actor')","('Irène', 'actress')","('Marie-Thérèse', 'actress')",,,,,,,,,,,,,,
0088322,"('Geoffrey Firmin', 'actor')","('Yvonne Firmin', 'actress')","('Hugh Firmin', 'actor')","('Dr. Vigil', 'actor')",,,,,,,,,,,,,,
0088323,"('Atreyu', 'actor')","('Bastian', 'actor')","('The Childlike Empress', 'actress')","(""Bastian's Father"", 'actor')",,,,,,,,,,,,,,
0088326,"('Claude Eastman', 'actor')","('Daniella Eastman', 'actress')","('Maxmillian Stein', 'actor')","('Norman Robbins', 'actor')",,,,,,,,,,,,,,
0088330,"('Mo Alexander', 'actress')","('Xavier de la Perouse', 'actor')","('Philip', 'actor')","('Andrew', 'actor')",,,,,,,,,,,,,,
0088333,"('Bob McGraw', 'actor')","('Heather Merriweather', 'actress')","('Gonzer', 'actor')","('Max', 'actor')",,,,,,,,,,,,,,
0088334,"('Lum', 'actress')","('Ataru Moroboshi', 'actor')","('Mendou', 'actor')","('Ten', 'actress')",,,,,,,,,,,,,,
0088335,"('Vasantsena', 'actress')","('Vatsyayan', 'actor')","('Anonymous revolutionary', 'actor')","('Sajjal', 'actor')",,,,,,,,,,,,,,
0088336,"('Uuno Turhapuro', 'actor')","('Elisabeth Turhapuro', 'actress')","('Minister of Defence Tuura', 'actor')","('Mrs. Tuura', 'actress')",,,,,,,,,,,,,,
0088338,"('Petar', 'actor')","('Veselin', 'actor')","(""Petar's otac-father"", 'actor')","('Petrova majka', 'actress')","(""Petar's mother"", 'actress')","('Petrova deda', 'actor')","(""Petar's grandfather"", 'actor')",,,,,,,,,,,
0088344,"('Loulou Dupin', 'actor')","('Laura', 'actress')","('Alvaro', 'actor')","('Mustapha', 'actor')",,,,,,,,,,,,,,
0088353,"('Gordon Jr.', 'actor')","('Newscaster', 'actor')","('Gordon Gordon', 'actor')","('Clifford Bradley', 'actor')",,,,,,,,,,,,,,
0088354,"('Emmanuel', 'actor')","('Elise', 'actress')","('Mara', 'actress')","('Natacha', 'actress')",,,,,,,,,,,,,,
0088355,"('Elizabeth Peers', 'actress')","('Ethan Ruir', 'actor')","('Birdie', 'actor')","('Lisa Peers (Toss)', 'actress')",,,,,,,,,,,,,,
0088357,"('Catherine Perrin', 'actress')","('Michel Perrin', 'actor')","('François Gaucher', 'actor')","('Sarah Gaucher', 'actress')",,,,,,,,,,,,,,
0088358,"('Mammouth', 'actor')","('Viviane', 'actress')","('Bob', 'actor')","('Ginette', 'actress')",,,,,,,,,,,,,,
0088359,"(""Boris 'Bo' Donnelly"", 'actor')","('Noah Barclay', 'actor')","('Ingrid Donnelly', 'actress')","('Olga', 'actress')","('Sam', 'actor')",,,,,,,,,,,,,
0088361,"('Porucnik Darko Mileusnic', 'actor')","('Potkonjak Borivoje Uca', 'actor')",,,,,,,,,,,,,,,,
0088379,"('Kain', 'actor')","('Zeg the Tyrant', 'actor')","('Naja the Sorceress', 'actress')","(""Kief, Zeg's Captain"", 'actor')",,,,,,,,,,,,,,
0088380,"('The Rider', 'actor')","('Nastasia', 'actress')","('Prossor', 'actor')","('Henchman', 'actor')",,,,,,,,,,,,,,
0088383,"('Caffarelli', 'actor')","('Ali', 'actor')","('Napoléon Bonaparte', 'actor')","('Yehia', 'actor')",,,,,,,,,,,,,,
0088385,"('Webster Adams', 'actor')","('Bunker Hill', 'actor')","('Paul Fricker', 'actor')","('Lester Gidley', 'actor')",,,,,,,,,,,,,,
0088392,"(""Rupert 'Wolf' Wolfsen"", 'actor')","('Maj. Elbert Stevens', 'actor')","('Leslie Peterson', 'actress')","('Ben Gannon', 'actor')",,,,,,,,,,,,,,
0088393,"('Trace', 'actor')","('Stinger', 'actress')","('Arlie', 'actress')","('Spike', 'actress')",,,,,,,,,,,,,,
0088395,"('Jennie Cooper', 'actress')","('Carole Singer', 'actress')","('Sandra Roxbury', 'actress')","('Laurie Jameson', 'actress')",,,,,,,,,,,,,,
0088399,"('Piotr', 'actor')","('Ola', 'actress')","(""Piotr's 2nd wife"", 'actress')","('Pauline', 'actress')","('Babysitter', 'actress')","('Mariusz', 'actor')","(""Ola's Cousin"", 'actor')",,,,,,,,,,,
0088402,"('Tom Drake', 'actor')","('Jim Conrad', 'actor')","('Bill Conrad', 'actor')","('Eileen', 'actress')",,,,,,,,,,,,,,
0088405,"('Danny', 'actor')","('Emily Reubens', 'actress')","('Sol', 'actor')","('Mickey', 'actor')",,,,,,,,,,,,,,
0088414,"('Theodore Pierce', 'actor')","('Charlotte', 'actress')","('Buddy', 'actor')","('Joey', 'actor')",,,,,,,,,,,,,,
0088423,"('Chan Chuen Chung', 'actor')","('Puppetteer', 'actor')","('Fatty', 'actress')","('Iron-Steel', 'actor')",,,,,,,,,,,,,,
0088427,"('Yellow Hair', 'actress')","('Pecos Kid', 'actor')","('Shayowteewah', 'actor')","('Colonel Torres', 'actor')",,,,,,,,,,,,,,
0088437,"('Topi - police inspector', 'actor')","('Pete Hautala, police detective', 'actor')","('Reuna, gangster', 'actor')","('Velma Angström', 'actress')",,,,,,,,,,,,,,
0088443,"('Ángel', 'actor')","('Teresa', 'actress')","('Alberto', 'actor')","('Manuel', 'actor')",,,,,,,,,,,,,,
0088445,"('Bjørn', 'actor')","('Steen', 'actor')","('Mulle', 'actor')","(""Bjørn's mother"", 'actress')",,,,,,,,,,,,,,
0088447,"('Professor Dowell', 'actor')","('Doctor Kern', 'actor')","('Angelika', 'actress')","('Eve', 'actress')",,,,,,,,,,,,,,
0088454,"('Paul', 'actor')","('Sandy', 'actress')","('Steve', 'actor')","('Connie', 'actress')",,,,,,,,,,,,,,
0088457,"('King Kong', 'actor')","('Albert Au', 'actor')","('Supt. Nancy Ho', 'actress')","('James Bond', 'actor')",,,,,,,,,,,,,,
0088459,"('Tommy', 'actor')","('Mike', 'actor')","('Birgit', 'actress')","('Gangster', 'actor')",,,,,,,,,,,,,,
0088461,"('Gloria', 'actress')","('Lucas Villalba', 'actor')","('Polo', 'actor')","('Profesor Kendo', 'actor')","('Antonio', 'actor')","('Cristal', 'actress')",,,,,,,,,,,,
0088462,"('Rico - un supporter agressif', 'actor')","('Martine Vannier', 'actress')","(""Maurice Bruno - l'arbitre"", 'actor')","('Teddy - un supporter', 'actor')",,,,,,,,,,,,,,
0088463,"('Véronique', 'actress')","('Stéphanie', 'actress')","('Cyril', 'actor')","('Marc', 'actor')",,,,,,,,,,,,,,
0088466,"('Åke', 'actor')","(""Åke's father"", 'actor')","(""Åke's mother"", 'actress')","(""Åke's sister Aja"", 'actress')",,,,,,,,,,,,,,
0088645,"('Horace Robedaux', 'actor')","('Elizabeth Robedaux', 'actress')","('Brother', 'actor')","('Mrs. Mary Vaughn', 'actress')",,,,,,,,,,,,,,
0088670,"('Piedade', 'actress')","('Raul', 'actor')","('Laura', 'actress')","('Alexandre', 'actor')",,,,,,,,,,,,,,
0088678,"('Mark Twain', 'actor')","('Becky Thatcher', 'actress')","('The Mysterious Stranger', 'actress')","('Girl In Crowd', 'actress')","('Huck Finn', 'actor')","('Tom Sawyer', 'actor')",,,,,,,,,,,,
0088679,"('Peter Huninger', 'actor')","('Laurence Huninger', 'actor')","('Pascale', 'actress')","('Elisabeth Huninger', 'actress')",,,,,,,,,,,,,,
0088680,"('Paul Hackett', 'actor')","('Marcy', 'actress')","('June', 'actress')","('Pepe', 'actor')",,,,,,,,,,,,,,
0088683,"('Doctor Martha Livingston', 'actress')","('Mother Miriam Ruth', 'actress')","('Sister Agnes', 'actress')","(""Dr. Livingston's Mother"", 'actress')",,,,,,,,,,,,,,
0088687,"('Jaideep', 'actor')","('Neha Khanna', 'actress')","('Inspector Barua', 'actor')","(""Vikramjit 'Vicky'"", 'actor')","('Kulbhushan Pandit', 'actor')","('Gautam Ghosh', 'actor')",,,,,,,,,,,,
0088689,"('Glory', 'actress')","('Shang', 'actor')","('Dinh', 'actor')","('Wally', 'actor')",,,,,,,,,,,,,,
0088691,"('Aaron McCallum', 'actor')","('Lenora Sinclair', 'actress')","('Cameron', 'actor')","('Esther', 'actress')",,,,,,,,,,,,,,
0088695,"('Buddy', 'actor')","('Lora', 'actress')","('Mr. One', 'actor')","('Gonzalez', 'actor')",,,,,,,,,,,,,,
0088701,"('Judy', 'actress')","('David', 'actor')","('Lucy', 'actress')","('Eddie', 'actor')","('Peggy', 'actress')","('Maxwell', 'actor')","('The Notary', 'actor')","(""Judy's Father"", 'actor')","('Sam', 'actor')",,,,,,,,,
0088703,"('Helena', 'actress')","('Edgar', 'actor')","('Betty', 'actress')","('Angel', 'actress')",,,,,,,,,,,,,,
0088705,"('Dean Mitchell', 'actor')","('Kelly', 'actor')","('Somsak', 'actor')","('Brutus', 'actor')",,,,,,,,,,,,,,
0088706,"('Bobbie Ann', 'actress')","('Jack', 'actor')","('Deena', 'actress')","('Sarge', 'actor')",,,,,,,,,,,,,,
0088707,"('Marcus Sommers', 'actor')","('David', 'actor')","('Sarah', 'actress')","('Becky', 'actress')",,,,,,,,,,,,,,
0088708,"('Pvt. Joe T. Armstrong', 'actor')","('Cpl. Curtis Jackson', 'actor')","('Patricia Hickock', 'actress')","('Col. William T. Hickock', 'actor')",,,,,,,,,,,,,,
0088710,"('Lello Mascetti', 'actor')","('Rambaldo Melandri', 'actor')","('Professor Sassaroli', 'actor')","('Guido Necchi', 'actor')",,,,,,,,,,,,,,
0088714,"('Mary', 'actress')","('Léon', 'actor')","('Micky', 'actor')","('Aglaé', 'actress')",,,,,,,,,,,,,,
0088715,"('Marc Delmas', 'actor')","('Antoine Garnier', 'actor')","('Samantha Page', 'actress')","('Jeanne Delmas', 'actress')","('Maître Ravignac', 'actor')",,,,,,,,,,,,,
0088722,"(""Shakespeare's Sonnets read by"", 'actress')",,,,,,,,,,,,,,,,,
0088724,"('Gertrud Meinecke', 'actress')","('Blinder Regisseur', 'actor')","('Herr von Gerlach', 'actor')","('Großer Chef', 'actor')",,,,,,,,,,,,,,
0088729,"('Lt. Hawkins', 'actor')","('Louie Nace', 'actor')","('Ray Track', 'actor')","('Garrett Floyd', 'actor')",,,,,,,,,,,,,,
0088744,"('Helen', 'actress')","('Mr. Grace', 'actor')","('Elsie Edison', 'actress')","('Mrs. Grace', 'actress')",,,,,,,,,,,,,,
0088745,"('Christiana Marelli', 'actress')","('Doctor Alex', 'actor')","('Doctor Franco M. Benincasa', 'actor')",,,,,,,,,,,,,,,
0088746,"('Padre Rufino', 'actor')","('Bishop Nicolini', 'actor')","('Mother Giuseppina', 'actress')","('Col. Müller', 'actor')",,,,,,,,,,,,,,
0088748,"('Astérix', 'actor')","('Obélix', 'actor')","('Caius Obtus', 'actor')","('Jules César', 'actor')",,,,,,,,,,,,,,
0088751,"('Col. Patrick Hendry', 'actor')","('Dr. Nikki Carlton', 'actress')","('Sheriff Lance Boiler', 'actor')","('Agent Jeff T. Stewart', 'actor')",,,,,,,,,,,,,,
0088752,"('John Trieste', 'actor')","('Cathy', 'actress')","('Case Quinn', 'actor')","('Diane', 'actress')",,,,,,,,,,,,,,
0088757,"('Molly \\Angel\\ Stewart', 'actress')","('Kit Carson', 'actor')","('Solly Mosler', 'actress')","('Captain Harry Moradian', 'actor')",,,,,,,,,,,,,,
0088758,"('Edgar Anscombe', 'actor')","('Tillie Hansen', 'actress')","('Moravia', 'actor')","('Bruno Hansen', 'actor')",,,,,,,,,,,,,,
0088760,"('George Loomis', 'actor')","('Susan Matthews-Loomis', 'actress')","('Dr. Eric Kiviat', 'actor')","('Nigel Jenkins', 'actor')",,,,,,,,,,,,,,
0088763,"('Marty McFly', 'actor')","('Dr. Emmett Brown', 'actor')","('Lorraine Baines', 'actress')","('George McFly', 'actor')",,,,,,,,,,,,,,
0088765,"('Jeff Marx', 'actor')","('Dr. Ramón Madera', 'actor')","('Liz Parker', 'actress')","('Dr. Gerald Marx', 'actor')",,,,,,,,,,,,,,
0088768,"('Nadia', 'actress')","('Stéphane', 'actor')","('Bronka', 'actress')","('Moishe', 'actor')",,,,,,,,,,,,,,
0088771,"('Amethea', 'actress')","('Estrild', 'actress')","('Argan', 'actor')","('Taramis', 'actress')",,,,,,,,,,,,,,
0088772,"('Dr. Brian C. Lockhart', 'actor')","('Leslie Ann Walker', 'actress')","('Tim Thornton', 'actor')","('Old Man Crenshaw', 'actor')",,,,,,,,,,,,,,
0088775,"('Melinda', 'actress')","('Debbie', 'actress')","('Cheryl', 'actress')","('Lt. Cranston', 'actor')",,,,,,,,,,,,,,
0088781,"('B.D. Tucker', 'actress')","('Buzz Beckerman', 'actor')","('A.J. Norbecker', 'actor')","('Elliott Morrison', 'actor')",,,,,,,,,,,,,,
0088784,"('Aprígio', 'actor')","('Arandir', 'actor')","('Dália', 'actress')","('Selminha', 'actress')",,,,,,,,,,,,,,
0088787,"('Arthur Beniker', 'actor')","('Cassie Beniker', 'actress')","('Edmund Beniker', 'actor')","('James Beniker', 'actor')",,,,,,,,,,,,,,
0088789,"('Louise Von Hollendorf', 'actress')","('Heinz Von Hollendorf', 'actor')","('Mitsuko Matsugae', 'actress')","('Wolf Von Hollendorf', 'actor')",,,,,,,,,,,,,,
0088794,"('Lane Meyer', 'actor')","('Al Meyer', 'actor')","('Jenny Meyer', 'actress')","('Johnny Gasparini', 'actor')",,,,,,,,,,,,,,
0088799,"('Antonio Scannapieco', 'actor')","('Gaetano', 'actor')","('Armando Maria Balestri', 'actor')","('Barman in Scasazza', 'actress')",,,,,,,,,,,,,,
0088800,"('Chris', 'actor')","('Beth', 'actress')","('Michelle', 'actress')","('Norman', 'actor')",,,,,,,,,,,,,,
0088807,"('Billy the Kid', 'actor')","('Maxwell Randall', 'actor')","('T.O. (The One)', 'actor')","('Miss Sullivan', 'actress')",,,,,,,,,,,,,,
0088808,"('Cevat, the son', 'actor')","('Kamil', 'actor')","('Sedef, the daughter', 'actor')",,,,,,,,,,,,,,,
0088810,"('Cmdr. Inoue', 'actor')","('Pvt. Mizushima', 'actor')","('Sgt. Ito', 'actor')","('Pvt. Kobayashi', 'actor')",,,,,,,,,,,,,,
0088811,"('Leon Wolny', 'actor')","('Rosa Eckart', 'actress')","('Cybulkowski', 'actor')","('Geistlicher', 'actor')",,,,,,,,,,,,,,
0088812,"('Sara Meijer', 'actress')","('Vader Meijer', 'actor')","('Moeder Meijer', 'actress')","('David Meijer', 'actor')",,,,,,,,,,,,,,
0088814,"('Taran', 'actor')","('Dallben', 'actor')","('Eilonwy', 'actress')","('Fflewddur Fflam', 'actor')",,,,,,,,,,,,,,
0088816,"('Allen Devlin', 'actor')","('Chris Graham', 'actress')","('Joe Steiner', 'actor')","('Mike Patterson', 'actor')",,,,,,,,,,,,,,
0088818,"(""Jake 'Tiger' Sharp"", 'actor')","('Connie', 'actress')","('Tom', 'actor')","('Wally', 'actor')",,,,,,,,,,,,,,
0088821,"('Harry', 'actor')","('Husband', 'actor')","('Bettina', 'actress')","('Wife', 'actress')","('Honey Barbara', 'actress')","('Prostitute', 'actress')","('David', 'actor')","('Son', 'actor')",,,,,,,,,,
0088827,"('John', 'actor')","('Bob', 'actor')","('Suzie', 'actress')","('Nick', 'actor')",,,,,,,,,,,,,,
0088828,"('Harry', 'actor')","('Dr. Johnson', 'actress')","('Ben Curtis', 'actor')","('Elaine Curtis', 'actress')",,,,,,,,,,,,,,
0088830,"('Paul Sharpe', 'actor')","('Janus', 'actress')","('Kauffman', 'actor')","('Jennifer Sharpe', 'actress')",,,,,,,,,,,,,,
0088842,"('Valeh', 'actor')","('Nurse', 'actress')","(""Maryam (Valeh's Wife)"", 'actress')",,,,,,,,,,,,,,,
0088846,"('Sam Lowry', 'actor')","('Jill Layton', 'actress')","('Harry Tuttle', 'actor')","('Mrs. Ida Lowry', 'actress')",,,,,,,,,,,,,,
0088847,"('Andrew Clark', 'actor')","('John Bender', 'actor')","('Claire Standish', 'actress')","('Allison Reynolds', 'actress')",,,,,,,,,,,,,,
0088848,"('Jack', 'actor')","('David', 'actor')","('Debbie', 'actress')","('Angie', 'actress')",,,,,,,,,,,,,,
