,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0004066,"('Løjtnant van Hauen', 'actor')","('Fru van Hauen', 'actress')","('Ældste søn', 'actor')","('Kontreadmiral van Hauen', 'actor')",,,,,,,,,,,,,,
0004099,"('Dorothy Gale', 'actress')","('The Scarecrow', 'actor')","('The Tin Woodman', 'actor')","('The Cowardly Lion', 'actor')","('The Kangaroo', 'actor')","('The Crow', 'actor')",,,,,,,,,,,,
0004134,"('Gabriel - the Ascetic', 'actor')","('The Woman', 'actress')","('The Abbot', 'actor')","('The Queen', 'actress')","('A Monk', 'actor')","('Undetermined Role', 'actor')","('The Magdelan', 'actress')",,,,,,,,,,,
0004150,"('Motana', 'actor')","('Naida', 'actress')","(""A Na'nalalal Dancer"", 'actress')","('Naida', 'actress')","('Sorceress', 'actress')","('Kenada', 'actor')","('Waket', 'actor')","('Yaklus', 'actor')","('Sorcerer', 'actor')","('Clam digger', 'actress')","('Captive', 'actress')","('Wedding Dancer', 'actress')","('Fisherman who drops a paddle on the rocks', 'actor')","('Extra', 'actor')",,,,
0004181,"('Judith', 'actress')","('Holofernes', 'actor')","('Naomi', 'actress')","('Nathan - Son of Eliah', 'actor')",,,,,,,,,,,,,,
0004457,"('Ojo, a Munchkin Boy', 'actress')","(""Unc Nunkie, Ojo's Guardian"", 'actor')","('Dr. Pipt, the Crooked Magician', 'actor')","('Margolotte, his wife, who makes the Patchwork Girl', 'actress')",,,,,,,,,,,,,,
0004465,"('Pauline Marvin', 'actress')","('Harry Marvin', 'actor')","('Raymond Owen - aka Koerner (re-release)', 'actor')","(""Sanford Marvin - Pauline's Father"", 'actor')",,,,,,,,,,,,,,
0004635,"('Capt. James Wynnegate - aka Jim Carston', 'actor')","('Sir Henry - Earl of Kerhill', 'actor')","('Lady Diana - Countess of Kerhill', 'actress')","('The Dowager Lady Elizabeth Kerhill', 'actress')",,,,,,,,,,,,,,
0004681,"('Tessibel Skinner', 'actress')","('Frederick Graves', 'actor')","('Teola Graves', 'actress')","('Daddy Skinner', 'actor')","('Old Mother Moll', 'actress')","('Elias Graves', 'actor')","('Ben Letts', 'actor')",,,,,,,,,,,
0004707,"('The City Slicker', 'actor')","('Tillie', 'actress')","('Mabel', 'actress')","(""Tillie's Father"", 'actor')",,,,,,,,,,,,,,
0004712,"('Angyal Liszka', 'actress')","('Miklós', 'actor')","('Ördög Sára', 'actress')","('Angyal Pál', 'actor')","('Kontra Fridolin', 'actor')",,,,,,,,,,,,,
0004743,"('Uncle Tom', 'actor')","('George Shelby', 'actor')","('Mrs. Shelby', 'actress')","('George Shelby Jr', 'actor')",,,,,,,,,,,,,,
0004766,"('The Virginian', 'actor')","('Steve', 'actor')","('Uncle Hughey', 'actor')","('Trampas', 'actor')","('Molly Wood', 'actress')","('Stage Driver', 'actor')",,,,,,,,,,,,
0004825,"(""Sally, The Parson's Daughter"", 'actress')","('The Earl Of Bateson', 'actor')","(""The Earl's Son, Giles"", 'actor')","('The Orphan', 'actor')","('The Parson', 'actor')","('Mr. Annesley', 'actor')",,,,,,,,,,,,
0004838,"('Lord Yamaki', 'actor')","('Toya San', 'actress')","('Tom Wilson', 'actor')","('Takeo', 'actor')",,,,,,,,,,,,,,
0004872,"('Jimmy Valentine', 'actor')","('Doyle', 'actor')","('Bill Avery', 'actor')","('Lt. Gov. Fay', 'actor')","('Rose Fay', 'actress')","('Red Joclyn', 'actor')","('Cotton', 'actor')",,,,,,,,,,,
0004873,"('Alice', 'actress')","('White Rabbit', 'actor')","('The Dodo Bird', 'actor')","('The Dormouse', 'actor')","('The Mad Hatter', 'actor')",,,,,,,,,,,,,
0004972,"(""Elsie - Stoneman's Daughter"", 'actress')","('Flora Cameron - the Pet Sister', 'actress')","('Colonel Ben Cameron aka The Little Colonel', 'actor')","('Margaret Cameron - the Elder Sister', 'actress')",,,,,,,,,,,,,,
0005060,"('Carmen', 'actress')","('Don José', 'actor')","('Escamillo', 'actor')","('Pastia', 'actor')",,,,,,,,,,,,,,
0005078,"('Edith Hardy', 'actress')","('Hishuru Tori (original release)', 'actor')","('Haka Arakau (in 1918 re-release)', 'actor')","('Richard Hardy', 'actor')","('Jones', 'actor')",,,,,,,,,,,,,
0005149,"('Col. Jefferson Beverly Winslow', 'actor')","('Frank Winslow', 'actor')","('Mrs. Elizabeth Winslow', 'actress')","('Amy', 'actress')",,,,,,,,,,,,,,
0005339,"('The Child', 'actress')","('The Wife', 'actress')","('John Schuyler - The Husband', 'actor')","(""The Wife's Sister"", 'actress')","('The Friend', 'actor')","('The Vampire', 'actress')",,,,,,,,,,,,
0005402,"('Mary Denby', 'actress')","('Roger Manning', 'actor')","('Steve Denby', 'actor')","('Mr. Hillary', 'actor')",,,,,,,,,,,,,,
0005529,"('Strong Henry', 'actor')","('Strong John Sikes (US version)', 'actor')","('Ann', 'actress')","('Dr. Richard West (US version) (?)', 'actor')","('Prof. Wilken, elephant trainer (US version) (?)', 'actor')",,,,,,,,,,,,,
0005557,"('Beppo Donnetti', 'actor')","('Annette Ancello Donnetti', 'actress')","(""Trudo Ancello - Annette's Father"", 'actor')","('Corrigan - NYC Ward Boss', 'actor')",,,,,,,,,,,,,,
0005680,"('Maciste', 'actor')","('Ercole', 'actress')","('Josefina', 'actress')","('Madre di Josefina', 'actress')","('Il duca Alexis', 'actor')",,,,,,,,,,,,,
0005719,"('Silent Smith', 'actor')","('David Crockett', 'actor')","('Santa Anna', 'actor')","('James Bowie', 'actor')","('Captain Dickinson', 'actor')","('Colonel Travis', 'actor')",,,,,,,,,,,,
0005809,"('Philip Morrow', 'actor')","('Georgiana Byrd', 'actress')",,,,,,,,,,,,,,,,
0005916,"('Andrei Bagrov', 'actor')","('Kapitolina Markovna, his aunt', 'actress')","('Zoya Kadmina', 'actress')","('Her mother', 'actress')",,,,,,,,,,,,,,
0005951,"(""Contessa Alba d'Oltrevita"", 'actress')","('Tristano', 'actor')","('Mephisto', 'actor')","('Sergio', 'actor')",,,,,,,,,,,,,,
0005960,"('Owen - Age Twenty-Five', 'actor')","('Marie Deering', 'actress')","('Skinny - One of the Gang', 'actor')","('Owen - Age Ten', 'actor')",,,,,,,,,,,,,,
0006206,"('Irma Vep', 'actress')","('Philippe Guérande', 'actor')","('Oscar Mazamette', 'actor')","('Le Grand Vampire', 'actor')","('Juan-José Moréno', 'actor')","('Brichonnet', 'actor')","('Marfa Koutiloff (episode II)', 'actress')",,,,,,,,,,,
0006327,"('Nellie Nolan', 'actress')","('Lou', 'actress')","('Tom Clancy', 'actor')","('Meyer', 'actor')","('Spagnoli', 'actor')","('Bellboy', 'actor')","('Silas Jenkins', 'actor')",,,,,,,,,,,
0006333,"('Capt. Nemo', 'actor')","('Professor Aronnax', 'actor')","(""Aronnax's Daughter"", 'actress')","('Ned Land', 'actor')",,,,,,,,,,,,,,
0006509,"('Cora', 'actress')","('Alice', 'actress')","('Jane Courtenay', 'actress')","('Charles Brown', 'actor')","('Fred Brown', 'actor')","('Jasper Vincent', 'actor')",,,,,,,,,,,,
0006517,"('Count Ferdinand', 'actor')","('Katheryn Haldemann', 'actress')","('Queen Eugenie', 'actress')","('A Mother', 'actress')",,,,,,,,,,,,,,
0006589,"('John Minturn', 'actor')","('Renee Duprez', 'actress')","('Patricia Devon', 'actress')","('Marshall Devon', 'actor')","('Sir Gordon Galloway', 'actor')","('Fritz', 'actor')","('Buck', 'actor')",,,,,,,,,,,
0006617,"('Òveringenjör Weyler', 'actor')","('Ingenjör Lebel', 'actor')","('Dr. Monro', 'actor')","('Doctor Adell', 'actor')",,,,,,,,,,,,,,
